State,Circle,Name of the Monument,Airport,Railway
Uttar Pradesh,Agra Circle,Taj Mahal,12,7
Uttar Pradesh,Agra Circle,Agra Fort,11,5
Uttar Pradesh,Agra Circle,Akbar's Tomb Sikandara,13,12
Uttar Pradesh,Agra Circle,Fatehpur Sikri,35,37
Uttar Pradesh,Agra Circle,Itimad-ud-Daulah,15,9
Uttar Pradesh,Agra Circle,Mehtab Bagh,16,10
Uttar Pradesh,Agra Circle,RamBagh,12,11
Uttar Pradesh,Agra Circle,Mariam's Tomb Sikandara,14,12
Maharashtra,Aurangabad Circle,Ellora Caves,36,28
Maharashtra,Aurangabad Circle,Bibi-Ka-Maqbara,13,6
Maharashtra,Aurangabad Circle,Daulatabad Fort,23,15
Maharashtra,Aurangabad Circle,Ajanta Caves,104,122
Maharashtra,Aurangabad Circle,Pandaulena Caves,3,13
Maharashtra,Aurangabad Circle,Aurangabad Caves,15,9
Karnataka,Bengaluru Circle,Daria Daulat Bagh Srirangapatnam,0.5,3
Karnataka,Bengaluru Circle,Chitradurga Fort Chitradurga,3,3
Karnataka,Bengaluru Circle,Keshava Temple Somnathpur,168,180
Karnataka,Bengaluru Circle,Tippu palace Bangalore,37,3
Madhya Pradesh,Bhopal Circle,Roopmati Pavilion,88,59
Madhya Pradesh,Bhopal Circle,Royal Palaces Mandu,282,286
Madhya Pradesh,Bhopal Circle,Gwalior Fort,10,3
Madhya Pradesh,Bhopal Circle,Western Group of Temple Khajuraho,3,8
Madhya Pradesh,Bhopal Circle,Buddhist Monuments Sanchi,55,47
Madhya Pradesh,Bhopal Circle,"Hoshang Shah's Tomb, Mandu",269,288
Madhya Pradesh,Bhopal Circle,The Palace Situated Burhapur,162,52
Madhya Pradesh,Bhopal Circle,Buddhist Caves,231,1
Odisha,Bhubaneswar Circle,Sun Temple Konark,63,37
Odisha,Bhubaneswar Circle,Udayagiri and Khandagiri Sites,8,9
Odisha,Bhubaneswar Circle,Ratnagiri Monument,91,84
Odisha,Bhubaneswar Circle,Raja Rani Temple,4,5
Odisha,Bhubaneswar Circle,Lalitagiri Monument,87,58
Odisha,Bhubaneswar Circle,Ashokan Rock Edicts,10,11
Punjab,Chandigarh Circle,Sheikh Chilli's Tomb Thanesar,97,2
