,city,country,property_name,state
121,Agra,India,Bhawna Clarks Inn,Uttar Pradesh
184,Agra,India,Bliss Home Stay,Uttar Pradesh
614,Agra,India,D. R. Residency,Uttar Pradesh
623,Agra,India,Crystal Retreat,Uttar Pradesh
868,Agra,India,Four Points By Sheraton,Uttar Pradesh
931,Agra,India,Dreams Inn,Uttar Pradesh
1233,Agra,India,Siris 18 - A Boutique Hotel,Uttar Pradesh
1286,Agra,India,Shree Residency,Uttar Pradesh
1301,Agra,India,Taj Heights,Uttar Pradesh
1334,Agra,India,TajMahal Home Stay,Uttar Pradesh
1397,Agra,India,Taj Heritage,Uttar Pradesh
1414,Agra,India,Taj Inn Hotel,Uttar Pradesh
1484,Agra,India,Bhawna Palace,Uttar Pradesh
1494,Agra,India,Bonfire Hostels,Uttar Pradesh
1624,Agra,India,Colkata Hotel &amp; Lodge,Uttar Pradesh
1719,Agra,India,Colonial Homestay,Uttar Pradesh
1813,Agra,India,Hotel Prem Sagar,Uttar Pradesh
1820,Agra,India,Hotel Prashant Palace,Uttar Pradesh
2075,Agra,India,Hotel Pentas,Uttar Pradesh
2223,Agra,India,Hotel Pushp Villa,Uttar Pradesh
2232,Agra,India,Hotel Pawan,Uttar Pradesh
2378,Agra,India,Uday Bed N Breakfast,Uttar Pradesh
2408,Agra,India,The Retreat,Uttar Pradesh
2439,Agra,India,The Taj Resiedency,Uttar Pradesh
2443,Agra,India,Udupi Residency,Uttar Pradesh
2447,Agra,India,The Taj Vilas,Uttar Pradesh
2491,Agra,India,Treebo White Inn,Uttar Pradesh
2499,Agra,India,Utkarsh Vilas,Uttar Pradesh
2526,Agra,India,Usha Kiran Palace,Uttar Pradesh
2607,Agra,India,Tourist Rest House,Uttar Pradesh
2616,Agra,India,THE ROYAL RESIDENCY,Uttar Pradesh
3041,Agra,India,Hotel Regency,Uttar Pradesh
3043,Agra,India,Hotel Riddhee Siddhee,Uttar Pradesh
3059,Agra,India,Hotel Riya Palace,Uttar Pradesh
3068,Agra,India,Hotel Red Inn,Uttar Pradesh
3222,Agra,India,Hotel Saniya palace,Uttar Pradesh
3424,Agra,India,Hotel Sidhartha,Uttar Pradesh
3462,Agra,India,Hotel Sheela Inn,Uttar Pradesh
3599,Agra,India,Viren Holiday Home,Uttar Pradesh
3962,Agra,India,Viren Sofitel,Uttar Pradesh
845,Aurangabad,India,"Ellora heritage resort, Ellora",Maharashtra
1944,Aurangabad,India,Hotel Preetam,Maharashtra
2221,Aurangabad,India,Hotel Padmavati,Maharashtra
2266,Aurangabad,India,Hotel Pearls,Maharashtra
2301,Aurangabad,India,Treebo Royal Kourt,Maharashtra
2475,Aurangabad,India,Tourists Home,Maharashtra
2596,Aurangabad,India,Tinus Resort And Highway Fun,Maharashtra
2846,Aurangabad,India,The Sky Court,Maharashtra
2929,Aurangabad,India,V Resorts Aurangabad,Maharashtra
3160,Aurangabad,India,Hotel Regal Plaza,Maharashtra
3201,Aurangabad,India,Hotel Royal Palace,Maharashtra
3300,Aurangabad,India,Hotel Shiv Tej Residency,Maharashtra
3453,Aurangabad,India,Hotel Saraswati Inn,Bihar
3457,Aurangabad,India,Hotel Shree Maya,Maharashtra
3619,Aurangabad,India,WelcomHotel Rama International,Maharashtra
3628,Aurangabad,India,"VITS, Aurangabad",Maharashtra
31,Bangalore,India,Aurick Hotel,Karnataka
44,Bangalore,India,ATITHI RESIDENCY - MARTHAHALLI,Karnataka
65,Bangalore,India,Bhagini Residency,Karnataka
67,Bangalore,India,Aura Foothills,Karnataka
101,Bangalore,India,Brahma Inn Executive Rooms,Karnataka
109,Bangalore,India,Chalet Diamond Penthouse,Karnataka
129,Bangalore,India,Bulande Hope farm Bangalore,Karnataka
146,Bangalore,India,CARAMEL HOMESTAY,Karnataka
159,Bangalore,India,carlin  service apartments,Karnataka
169,Bangalore,India,Chandana Deluxe Hotel,Karnataka
193,Bangalore,India,Cinnamon Residency,Karnataka
205,Bangalore,India,Brigade Royale Premier Business Class Hotel,Karnataka
206,Bangalore,India,Bulande Hospitality Near Graphite India Signal,Karnataka
231,Bangalore,India,Catalyst- L&amp;T South City,Karnataka
282,Bangalore,India,Chalet Riviera,Karnataka
306,Bangalore,India,Brunton Heights,Karnataka
312,Bangalore,India,Blue Mountain Hotel,Karnataka
331,Bangalore,India,Catalyst Suites (Old Airport ),Karnataka
413,Bangalore,India,Century Inn Deluxe Lodge,Karnataka
436,Bangalore,India,Casa de Bengaluru,Karnataka
482,Bangalore,India,Comfort Shelter Lodge,Karnataka
507,Bangalore,India,Clara Hotels,Karnataka
544,Bangalore,India,"Country Inn &amp; Suites By Carlson, Bengaluru Hebbal",Karnataka
548,Bangalore,India,Dass Suites,Karnataka
555,Bangalore,India,CORPORATE STAY,Karnataka
571,Bangalore,India,Deep Guest House,Karnataka
586,Bangalore,India,Deva Residency,Karnataka
590,Bangalore,India,DEEYASUITES,Karnataka
624,Bangalore,India,Citrus Cunningham Road Bangalore,Karnataka
625,Bangalore,India,Cosmos Guest Homes - Bellandur,Karnataka
632,Bangalore,India,Credora Inn,Karnataka
641,Bangalore,India,Clover Suites,Karnataka
656,Bangalore,India,Coral Tree,Karnataka
662,Bangalore,India,Compact- Tea Pavilion,Karnataka
682,Bangalore,India,FabHotel Monarch Jayanagar,Karnataka
702,Bangalore,India,El-Shaddai Homes,Karnataka
704,Bangalore,India,DM Bluemoon Comforts,Karnataka
706,Bangalore,India,Falcon Suites-Residency Road,Karnataka
725,Bangalore,India,Discovery Village Nandi Foot Hills,Karnataka
736,Bangalore,India,Fantasy Golf Resort,Karnataka
760,Bangalore,India,Fortune Select JP Cosmos(Unit of MICHPL),Karnataka
791,Bangalore,India,EVEREST COMFORTS,Karnataka
794,Bangalore,India,Even Suites - Koramangala,Karnataka
808,Bangalore,India,Devashree Comforts,Karnataka
818,Bangalore,India,Eco Comforts Bangalore New Airport,Karnataka
823,Bangalore,India,FabHotel Legacy Brigade Road,Karnataka
825,Bangalore,India,FabHotel Maruthi Domlur,Karnataka
917,Bangalore,India,Discovery Village,Karnataka
919,Bangalore,India,Elite Inn-Koddihalli,Karnataka
930,Bangalore,India,EYRIE HOSPITALITY,Karnataka
954,Bangalore,India,Shoba Inn,Karnataka
969,Bangalore,India,Shree Adiga Residency,Karnataka
1001,Bangalore,India,Southern Residency Basavanagudi,Karnataka
1025,Bangalore,India,Skanda Shelters,Karnataka
1050,Bangalore,India,Shree Ganesh Regency,Karnataka
1062,Bangalore,India,Sree Nandanam Residency,Karnataka
1108,Bangalore,India,Sree Bhavani Palace,Karnataka
1113,Bangalore,India,Sri Vinayaka Regency Deluxe Lodge,Karnataka
1114,Bangalore,India,SILICON HEARTH -1,Karnataka
1116,Bangalore,India,Sri Trupthi Comforts,Karnataka
1143,Bangalore,India,SnoozOtel,Karnataka
1166,Bangalore,India,Srinidhi Residency,Karnataka
1180,Bangalore,India,Social Rehab,Karnataka
1188,Bangalore,India,sri Balaji Residence,Karnataka
1205,Bangalore,India,Shoba Residency,Karnataka
1225,Bangalore,India,SILICON HEARTH-2,Karnataka
1344,Bangalore,India,Sun Shine Serviced Apartments,Karnataka
1367,Bangalore,India,SS Residency,Karnataka
1375,Bangalore,India,St. Marks Inn,Karnataka
1378,Bangalore,India,Subha Residency,Karnataka
1381,Bangalore,India,Stay Inn Serviced Apartment -Old Airport Road,Karnataka
1389,Bangalore,India,Sunil Residency,Karnataka
1420,Bangalore,India,Star Service Apartment,Karnataka
1421,Bangalore,India,St. Marks Hotel,Karnataka
1438,Bangalore,India,Chalet Residency - HSR Layout,Karnataka
