State,Circle,Name of the Monument,,Domestic - 2016-17,Foreign - 2016-17,Domestic - 2017-18,Foreign - 2017-18,Domestic Percentage growth - 2017-18/2016-17,Foreign Percentage growth - 2017-18/2016-17
Uttar Pradesh,Agra Circle,Taj Mahal,,5419608,668403,5663136,794556,4.5,18.9
Uttar Pradesh,Agra Circle,Agra Fort,,1799953,441326,2008208,489822,11.6,11
Uttar Pradesh,Agra Circle,Akbar's Tomb Sikandara,,418502,22389,362070,23638,-13.5,5.6
Uttar Pradesh,Agra Circle,Fatehpur Sikri,,427854,126114,962069,301181,124.9,138.8
Uttar Pradesh,Agra Circle,Itimad-ud-Daulah,,108392,129177,138524,76572,27.8,-40.7
Uttar Pradesh,Agra Circle,Mehtab Bagh,,215845,39969,172790,68897,-19.9,72.4
Uttar Pradesh,Agra Circle,RamBagh,,56238,1911,67541,13493,20.1,606.1
Uttar Pradesh,Agra Circle,Mariam's Tomb Sikandara,,28026,201,29880,12776,6.6,6256.2
Maharashtra,Aurangabad Circle,Ellora Caves,,1255537,24866,1645484,40405,31.1,62.5
Maharashtra,Aurangabad Circle,Bibi-Ka-Maqbara,,1291040,18756,1773100,20290,37.3,8.2
Maharashtra,Aurangabad Circle,Daulatabad Fort,,518376,5791,700989,8583,35.2,48.2
Maharashtra,Aurangabad Circle,Ajanta Caves,,393985,21062,496659,33992,26.1,61.4
Maharashtra,Aurangabad Circle,Pandaulena Caves,,224283,1042,277720,1734,23.8,66.4
Maharashtra,Aurangabad Circle,Aurangabad Caves,,101140,1428,99848,1982,-1.3,38.8
Karnataka,Bengaluru Circle,Daria Daulat Bagh Srirangapatnam,,871498,19933,1078120,28045,23.7,40.7
Karnataka,Bengaluru Circle,Chitradurga Fort Chitradurga,,433950,1383,455976,1901,5.1,37.5
Karnataka,Bengaluru Circle,Keshava Temple Somnathpur,,243990,10860,330335,17030,35.4,56.8
Karnataka,Bengaluru Circle,Tippu palace Bangalore,,161804,10680,247451,15359,52.9,43.8
Madhya Pradesh,Bhopal Circle,Roopmati Pavilion,,344142,2012,428933,2436,24.6,21.1
Madhya Pradesh,Bhopal Circle,Royal Palaces Mandu,,329658,2563,450254,3352,36.6,30.8
Madhya Pradesh,Bhopal Circle,Gwalior Fort,,253242,9097,347838,14554,37.4,60
Madhya Pradesh,Bhopal Circle,Western Group of Temple Khajuraho,,262736,59439,373835,84647,42.3,42.4
Madhya Pradesh,Bhopal Circle,Buddhist Monuments Sanchi,,284928,4956,391887,6858,37.5,38.4
Madhya Pradesh,Bhopal Circle,"Hoshang Shah's Tomb, Mandu",,160250,2131,193543,2771,20.8,30
Madhya Pradesh,Bhopal Circle,The Palace Situated Burhapur,,48834,397,88133,544,80.5,37
Madhya Pradesh,Bhopal Circle,Buddhist Caves,,29669,31,49572,46,67.1,48.4
Odisha,Bhubaneswar Circle,Sun Temple Konark,,2300665,5791,3221190,8091,40,39.7
Odisha,Bhubaneswar Circle,Udayagiri and Khandagiri Sites,,520894,2262,693327,3854,33.1,70.4
Odisha,Bhubaneswar Circle,Ratnagiri Monument,,74844,395,56452,711,-24.6,80
Odisha,Bhubaneswar Circle,Raja Rani Temple,,26865,1006,36063,1434,34.2,42.5
Odisha,Bhubaneswar Circle,Lalitagiri Monument,,27378,225,46798,562,70.9,149.8
Odisha,Bhubaneswar Circle,Ashokan Rock Edicts,,0,0,0,0,NA,NA
Punjab,Chandigarh Circle,Sheikh Chilli's Tomb Thanesar,,130193,69,168622,143,29.5,107.2
Punjab,Chandigarh Circle,Surajkund Faridabad,,45236,59,61270,129,35.4,118.6
Tamilnadu,Chennai Circle,"Group of Monuments, Mamallapuram",,960963,62110,1334624,96279,38.9,55
Tamilnadu,Chennai Circle,"Gingee Fort, Gingee",,105997,2607,207556,4709,95.8,80.6
Tamilnadu,Chennai Circle,Fort Museum Thirumayam,,48280,649,72581,4287,50.3,560.6
Tamilnadu,Chennai Circle,"Rock cut-Jain Temple, Sittanasal",,24976,150,57857,341,131.7,127.3
Tamilnadu,Chennai Circle,Fort on Rock Dindigul,,24298,232,47001,241,93.4,3.9
Tamilnadu,Chennai Circle,Natural Caves with inscription Eladipattam Sittannavasal,,23999,40,29513,78,23,95
Tamilnadu,Chennai Circle,Moovarkoil Kodambalur,,840,17,2508,24,198.6,41.2
Uttar Pradesh,Delhi Circle,QutabMinar,,2943552,421084,2618532,304833,-11,-27.6
Uttar Pradesh,Delhi Circle,Red Fort,,2896754,114181,3039612,140200,4.9,22.8
Uttar Pradesh,Delhi Circle,Humayun's Tomb,,856409,224234,927681,233385,8.3,4.1
Uttar Pradesh,Delhi Circle,PuranaQuila,,1293301,7328,963121,7100,-25.5,-3.1
Uttar Pradesh,Delhi Circle,JantarMantar,,299368,6473,350758,7775,17.2,20.1
Uttar Pradesh,Delhi Circle,Safdarjung Tomb,,150724,2932,113881,5503,-24.4,87.7
Uttar Pradesh,Delhi Circle,KotlaFeroz Shah,,82419,838,97814,925,18.7,10.4
Uttar Pradesh,Delhi Circle,Tughluqabad,,99761,1001,130883,1053,31.2,5.2
Uttar Pradesh,Delhi Circle,Khan-1-Khana,,2948,65,2246,56,-23.8,-13.8
Uttar Pradesh,Delhi Circle,Sultanghari 's Tomb,,1408,15,1797,30,27.6,100
Karnataka,Dharwad Circle,Gol- Gumbaz Bijapur,,975555,2782,1161880,3575,19.1,28.5
Karnataka,Dharwad Circle,"Caves, Badami",,431521,8873,559753,1208,29.7,-86.4
Karnataka,Dharwad Circle,"Group of Monuments (WH), Pattadakal",,296066,6041,403170,8743,36.2,44.7
Karnataka,Dharwad Circle,"Durga Temple Complex, Aihole",,218231,5338,294506,7613,35,42.6
Karnataka,Dharwad Circle,Ibrahim Rouza Bijapur,,190996,2137,271663,3313,42.2,55
Karnataka,Dharwad Circle,Temple & Sculpture Shed Lakkundi,,13718,231,28502,762,107.8,229.9
Assam,Guwahati Circle,Karenghar of Ahoms Kings Sibsagar,,171514,806,234751,1172,36.9,45.4
Assam,Guwahati Circle,Ranghar Pavillion Jaisagar,,106925,683,177286,1163,65.8,70.3
Assam,Guwahati Circle,"AhomRaja's Palace, Garhgaon Distt.Sibsagar",,65830,164,127247,268,93.3,63.4
Assam,Guwahati Circle,Group of four Maidams Cheraideo Distt. Sibsagar,,36819,47,73726,75,100.2,59.6
Assam,Guwahati Circle,Bishnudol Joysagar,,11879,39,18129,56,52.6,43.6
Karnataka,Hampi Mini Circle,Zananna Enclosure & Vittala Temple,,494105,37934,729868,54384,47.7,43.4
Karnataka,Hampi Mini Circle,Bellary,,6979,62,21523,62,208.4,0
Telangana,Hyderabad Circle,Golconda,,1297084,10937,1718747,19661,32.5,79.8
Telangana,Hyderabad Circle,Charminar,,1551835,21004,1760180,25387,13.4,20.9
Telangana,Hyderabad Circle,Warangal,,25026,58,194732,522,678.1,800
Telangana,Hyderabad Circle,Chandragiri,,122393,538,121845,128,-0.4,-76.2
Telangana,Hyderabad Circle,Nagarjunakonda,,124814,63,96566,482,-22.6,665.1
Telangana,Hyderabad Circle,Undavalli,,16725,183,128802,655,670.1,257.9
Telangana,Hyderabad Circle,Guntupalli,,68877,362,25919,178,-62.4,-50.8
Telangana,Hyderabad Circle,Mahastupa Amaravathi,,127503,387,13434,391,-89.5,1
Rajasthan,Jaipur Circle,Deeg Palaces Deeg Distt. Bharatpur,,34699,1068,46333,7779,33.5,628.4
Rajasthan,Jodhpur Circle,Chittaurgarh,,368142,16664,555949,22331,51,34
Rajasthan,Jodhpur Circle,Kumbhalgarh,,408317,14238,593928,20472,45.5,43.8
