States/UTs,2014,2015,2016,2017,2018 (Revised)
Andaman & Nicobar Islands,285146,296684,384552,471919,498279
Andhra Pradesh,93306974,121591054,153163354,165433898,194767874
Arunachal Pradesh,335974,352067,385875,444005,512436
Assam,4826702,5491845,5160599,6052667,5856282
Bihar,22544377,28029118,28516127,32414063,33621613
Chandigarh,1061419,1073842,1182504,1425781,1538796
Chhattisgarh,24488465,18327841,16534471,17350030,19329501
Dadra & Nagar Haveli,579638,527782,589074,614182,609435
Daman & Diu,795167,790911,826201,858131,898824
Delhi *,22626859,25258051,28460832,29114423,29114423
Goa,3544634,4756422,5650061,6895234,7081559
Gujarat,30912043,36288463,42252909,48343121,54369873
Haryana,7467064,7395496,7382995,6050325,4888952
Himachal Pradesh,15924701,17125045,17997750,19130541,16093935
Jammu & Kashmir,9438544,9145016,9414579,14235473,17076315
Jharkhand,33427144,33079530,33389286,33723185,35408822
Karnataka,118283220,119863942,129762600,179980191,214306456
Kerala,11695411,12465571,13172536,14673520,15604661
Lakshadweep,7315,17241,8716,6620,10435
Madhya Pradesh,63614525,77975738,150490339,78038522,83969799
Maharashtra*,92632097,103403934,116515801,119191539,119191539
Manipur,115499,146169,150638,153454,176109
Meghalaya,716469,751165,830887,990856,1198340
Mizoram,68203,66605,67238,67772,76551
Nagaland,58507,64616,58178,63362,101588
Odisha,10790622,11786117,12842766,14011229,15208540
Puducherry,1188093,1297192,1398289,1531972,1616660
Punjab,24271302,25796361,38703326,40293352,44595061
Rajasthan,33076491,35187573,41495115,45916573,50235643
Sikkim,562418,705023,747343,1375854,1426127
Tamil Nadu,327555233,333459047,343812413,345061140,385909376
Tripura,361247,363172,370618,398669,414388
Telangana,72399113,94516316,95160830,85266596,92878329
Uttar Pradesh,182820108,204888457,213544204,233977619,285079848
Uttarakhand,21991315,29496938,30505363,34359989,35609650
West Bengal,49029590,70193450,74460250,79630345,85657365
